escopo_autuacao,mes,uf,amparo_legal,descricao_infracao,quantidade_autos,data_referencia
CMT - CAPACIDADE MÁXIMA DE TRAÇÃO,JANEIRO,ES,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO EXCEDENDO A CMT ACIMA DE 1000 KG,1,2020-01-01
CMT - CAPACIDADE MÁXIMA DE TRAÇÃO,JANEIRO,MG,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO EXCEDENDO A CMT EM ATÉ 600 KG,2,2020-01-01
CMT - CAPACIDADE MÁXIMA DE TRAÇÃO,JANEIRO,MG,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO EXCEDENDO A CMT ACIMA DE 1000 KG,3,2020-01-01
CMT - CAPACIDADE MÁXIMA DE TRAÇÃO,JANEIRO,MS,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO EXCEDENDO A CMT ACIMA DE 1000 KG,2,2020-01-01
CMT - CAPACIDADE MÁXIMA DE TRAÇÃO,JANEIRO,RJ,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO EXCEDENDO A CMT ENTRE 601 E 1000 KG,8,2020-01-01
CMT - CAPACIDADE MÁXIMA DE TRAÇÃO,JANEIRO,RJ,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO EXCEDENDO A CMT ACIMA DE 1000 KG,9,2020-01-01
CMT - CAPACIDADE MÁXIMA DE TRAÇÃO,JANEIRO,RJ,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO EXCEDENDO A CMT EM ATÉ 600 KG,12,2020-01-01
CMT - CAPACIDADE MÁXIMA DE TRAÇÃO,JANEIRO,SC,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO EXCEDENDO A CMT ACIMA DE 1000 KG,1,2020-01-01
EVASÃO DE BALANÇA,JANEIRO,ES,"LEI 9503 DE 23/09/1997 TRANSPOR, SEM AUTORIZAÇÃO, BLOQUEIO VIÁRIO COM OU SEM SINALIZAÇÃO OU DISPOSITIVOS AUXILIARES, DEIXAR DE ADENTRAR ÀS ÁREAS DESTINADAS À PESAGEM DE VEÍCULOS OU EVADIR-SE PARA NÃO EFETUAR O PAGAMENTO DO PEDÁGIO.",ART. 209 DEIXAR DE ADENTRAR AS ÁREAS DESTINADAS À PESAGEM DE VEÍCULOS,448,2020-01-01
EVASÃO DE BALANÇA,JANEIRO,RJ,"LEI 9503 DE 23/09/1997 TRANSPOR, SEM AUTORIZAÇÃO, BLOQUEIO VIÁRIO COM OU SEM SINALIZAÇÃO OU DISPOSITIVOS AUXILIARES, DEIXAR DE ADENTRAR ÀS ÁREAS DESTINADAS À PESAGEM DE VEÍCULOS OU EVADIR-SE PARA NÃO EFETUAR O PAGAMENTO DO PEDÁGIO.",ART. 209 DEIXAR DE ADENTRAR AS ÁREAS DESTINADAS À PESAGEM DE VEÍCULOS,2053,2020-01-01
EXCESSO DE PESO,JANEIRO,BA,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - PBT/PBTC,15,2020-01-01
EXCESSO DE PESO,JANEIRO,ES,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - PBT/PBTC,158,2020-01-01
EXCESSO DE PESO,JANEIRO,ES,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - PBT/PBTC E POR EIXO,184,2020-01-01
EXCESSO DE PESO,JANEIRO,ES,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - POR EIXO,1546,2020-01-01
EXCESSO DE PESO,JANEIRO,MG,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - PBT/PBTC,263,2020-01-01
EXCESSO DE PESO,JANEIRO,MG,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - PBT/PBTC E POR EIXO,341,2020-01-01
EXCESSO DE PESO,JANEIRO,MG,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - POR EIXO,2372,2020-01-01
EXCESSO DE PESO,JANEIRO,MS,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - PBT/PBTC,6,2020-01-01
EXCESSO DE PESO,JANEIRO,MS,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - PBT/PBTC E POR EIXO,28,2020-01-01
EXCESSO DE PESO,JANEIRO,MS,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - POR EIXO,89,2020-01-01
EXCESSO DE PESO,JANEIRO,MT,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - PBT/PBTC,9,2020-01-01
EXCESSO DE PESO,JANEIRO,MT,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - PBT/PBTC E POR EIXO,20,2020-01-01
EXCESSO DE PESO,JANEIRO,MT,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - POR EIXO,302,2020-01-01
EXCESSO DE PESO,JANEIRO,PR,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - PBT/PBTC E POR EIXO,84,2020-01-01
EXCESSO DE PESO,JANEIRO,PR,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - PBT/PBTC,96,2020-01-01
EXCESSO DE PESO,JANEIRO,PR,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - POR EIXO,767,2020-01-01
EXCESSO DE PESO,JANEIRO,RJ,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - PBT/PBTC,751,2020-01-01
EXCESSO DE PESO,JANEIRO,RJ,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - PBT/PBTC E POR EIXO,893,2020-01-01
EXCESSO DE PESO,JANEIRO,RJ,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - POR EIXO,3303,2020-01-01
EXCESSO DE PESO,JANEIRO,RS,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - PBT/PBTC,15,2020-01-01
EXCESSO DE PESO,JANEIRO,RS,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - PBT/PBTC E POR EIXO,18,2020-01-01
EXCESSO DE PESO,JANEIRO,RS,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - POR EIXO,251,2020-01-01
EXCESSO DE PESO,JANEIRO,SC,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - PBT/PBTC,159,2020-01-01
EXCESSO DE PESO,JANEIRO,SC,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - PBT/PBTC E POR EIXO,258,2020-01-01
EXCESSO DE PESO,JANEIRO,SC,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - POR EIXO,1674,2020-01-01
EXCESSO DE PESO,JANEIRO,SP,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - PBT/PBTC,115,2020-01-01
EXCESSO DE PESO,JANEIRO,SP,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - PBT/PBTC E POR EIXO,134,2020-01-01
EXCESSO DE PESO,JANEIRO,SP,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - POR EIXO,1621,2020-01-01
CMT - CAPACIDADE MÁXIMA DE TRAÇÃO,FEVEREIRO,ES,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO EXCEDENDO A CMT ACIMA DE 1000 KG,6,2020-02-01
CMT - CAPACIDADE MÁXIMA DE TRAÇÃO,FEVEREIRO,MG,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO EXCEDENDO A CMT EM ATÉ 600 KG,1,2020-02-01
CMT - CAPACIDADE MÁXIMA DE TRAÇÃO,FEVEREIRO,MG,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO EXCEDENDO A CMT ENTRE 601 E 1000 KG,1,2020-02-01
CMT - CAPACIDADE MÁXIMA DE TRAÇÃO,FEVEREIRO,MS,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO EXCEDENDO A CMT ACIMA DE 1000 KG,2,2020-02-01
CMT - CAPACIDADE MÁXIMA DE TRAÇÃO,FEVEREIRO,PR,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO EXCEDENDO A CMT EM ATÉ 600 KG,1,2020-02-01
CMT - CAPACIDADE MÁXIMA DE TRAÇÃO,FEVEREIRO,RJ,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO EXCEDENDO A CMT ENTRE 601 E 1000 KG,1,2020-02-01
CMT - CAPACIDADE MÁXIMA DE TRAÇÃO,FEVEREIRO,RJ,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO EXCEDENDO A CMT EM ATÉ 600 KG,7,2020-02-01
CMT - CAPACIDADE MÁXIMA DE TRAÇÃO,FEVEREIRO,RJ,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO EXCEDENDO A CMT ACIMA DE 1000 KG,11,2020-02-01
CMT - CAPACIDADE MÁXIMA DE TRAÇÃO,FEVEREIRO,RS,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO EXCEDENDO A CMT ENTRE 601 E 1000 KG,1,2020-02-01
EVASÃO DE BALANÇA,FEVEREIRO,ES,"LEI 9503 DE 23/09/1997 TRANSPOR, SEM AUTORIZAÇÃO, BLOQUEIO VIÁRIO COM OU SEM SINALIZAÇÃO OU DISPOSITIVOS AUXILIARES, DEIXAR DE ADENTRAR ÀS ÁREAS DESTINADAS À PESAGEM DE VEÍCULOS OU EVADIR-SE PARA NÃO EFETUAR O PAGAMENTO DO PEDÁGIO.",ART. 209 DEIXAR DE ADENTRAR AS ÁREAS DESTINADAS À PESAGEM DE VEÍCULOS,752,2020-02-01
EVASÃO DE BALANÇA,FEVEREIRO,RJ,"LEI 9503 DE 23/09/1997 TRANSPOR, SEM AUTORIZAÇÃO, BLOQUEIO VIÁRIO COM OU SEM SINALIZAÇÃO OU DISPOSITIVOS AUXILIARES, DEIXAR DE ADENTRAR ÀS ÁREAS DESTINADAS À PESAGEM DE VEÍCULOS OU EVADIR-SE PARA NÃO EFETUAR O PAGAMENTO DO PEDÁGIO.",ART. 209 DEIXAR DE ADENTRAR AS ÁREAS DESTINADAS À PESAGEM DE VEÍCULOS,1014,2020-02-01
EXCESSO DE PESO,FEVEREIRO,BA,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - PBT/PBTC,2,2020-02-01
EXCESSO DE PESO,FEVEREIRO,ES,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - PBT/PBTC,106,2020-02-01
EXCESSO DE PESO,FEVEREIRO,ES,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - PBT/PBTC E POR EIXO,156,2020-02-01
EXCESSO DE PESO,FEVEREIRO,ES,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - POR EIXO,1307,2020-02-01
EXCESSO DE PESO,FEVEREIRO,GO,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - PBT/PBTC,4,2020-02-01
EXCESSO DE PESO,FEVEREIRO,GO,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - PBT/PBTC E POR EIXO,8,2020-02-01
EXCESSO DE PESO,FEVEREIRO,GO,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - POR EIXO,54,2020-02-01
EXCESSO DE PESO,FEVEREIRO,MG,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - PBT/PBTC,121,2020-02-01
EXCESSO DE PESO,FEVEREIRO,MG,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - PBT/PBTC E POR EIXO,229,2020-02-01
EXCESSO DE PESO,FEVEREIRO,MG,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - POR EIXO,1616,2020-02-01
EXCESSO DE PESO,FEVEREIRO,MS,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - PBT/PBTC,6,2020-02-01
EXCESSO DE PESO,FEVEREIRO,MS,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - PBT/PBTC E POR EIXO,36,2020-02-01
EXCESSO DE PESO,FEVEREIRO,MS,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - POR EIXO,78,2020-02-01
EXCESSO DE PESO,FEVEREIRO,MT,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - PBT/PBTC E POR EIXO,21,2020-02-01
EXCESSO DE PESO,FEVEREIRO,MT,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - PBT/PBTC,22,2020-02-01
EXCESSO DE PESO,FEVEREIRO,MT,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - POR EIXO,342,2020-02-01
EXCESSO DE PESO,FEVEREIRO,PR,"LEI 9503/97 LEI 10561/02 RES. CONTRAN Nº 210/06, 211/06 E 258/07 E ALTERAÇÕES PORTARIA DENATRAN 63/09 E 59/07 E ALTERAÇÕES",TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO - PBT/PBTC E POR EIXO,96,2020-02-01
